schema_version,rf_channel,callsign,service_class,detectability_db,distance_km,bearing_deg,frequency_tolerance,chime_ch_index,nominal_pilot_mhz,city,state_prov,erp_kw,evidence_status
dtv_transmitter_census_v1,30,CHKL-1,Relay,79.31,37.8,5.6,±1 kHz,598,566.309441,Penticton,BC,3.000,reported_on_air_licensed
dtv_transmitter_census_v1,24,CHKL-DT+CHBC-DT,Full-power,84.51,72.1,5.4,±1 kHz,690,530.309441,Kelowna,BC,35.000,reported_on_air_licensed
dtv_transmitter_census_v1,31,CH4491-DT,Relay,55.12,86.2,9.5,±1 kHz,583,572.309441,Winfield,BC,0.049,reported_on_air_licensed
dtv_transmitter_census_v1,34,CH4490-DT,Relay,55.12,86.2,9.5,±1 kHz,537,590.309441,Winfield,BC,0.049,reported_on_air_licensed
dtv_transmitter_census_v1,17,K17KR-D,Translator (LPTV),45.13,99.8,215.4,None specified,798,488.309441,MAZAMA,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,19,K19JC-D,Translator (LPTV),45.13,99.8,215.4,None specified,767,500.309441,MAZAMA,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,21,K21LD-D,Translator (LPTV),45.13,99.8,215.4,None specified,736,512.309441,MAZAMA,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,17,K17EV-D,Translator (LPTV),30.38,101.4,176.0,None specified,798,488.309441,OMAK,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,19,K19AU-D,Translator (LPTV),30.38,101.4,176.0,None specified,767,500.309441,"OMAK, OKANOGAN, ETC.",WA,,reported_on_air_unverified
dtv_transmitter_census_v1,26,K26GV-D,Translator (LPTV),31.12,101.4,176.0,None specified,660,542.309441,OMAK,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,31,K31AH-D,Translator (LPTV),30.38,101.4,176.0,None specified,583,572.309441,"OMAK, ETC",WA,,reported_on_air_unverified
dtv_transmitter_census_v1,33,K33NM-D,Translator (LPTV),30.38,101.4,176.0,None specified,552,584.309441,"OMAK, ETC.",WA,,reported_on_air_unverified
dtv_transmitter_census_v1,35,K35MN-D,Translator (LPTV),30.38,101.4,176.0,None specified,521,596.309441,"OMAK, ETC.",WA,,reported_on_air_unverified
dtv_transmitter_census_v1,22,CHKL-2,Relay,70.67,108.8,11.6,±1 kHz,721,518.309441,Vernon,BC,4.000,reported_on_air_licensed
dtv_transmitter_census_v1,36,K36PH-D,Translator (LPTV),56.00,135.2,192.0,None specified,506,602.309441,METHOW,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,14,K14SF-D,Translator (LPTV),49.45,136.8,184.9,None specified,844,470.309441,BREWSTER & PATEROS,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,34,K34NN-D,Translator (LPTV),49.45,136.8,184.9,None specified,537,590.309441,BREWSTER & PATEROS,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,22,K22MO-D,Translator (LPTV),57.71,143.2,188.4,None specified,721,518.309441,PATEROS,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,23,K23MU-D,Translator (LPTV),43.06,146.5,181.4,None specified,706,524.309441,BRIDGEPORT,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,24,K24LM-D,Translator (LPTV),43.06,146.5,181.4,None specified,690,530.309441,BRIDGEPORT,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,25,K25NY-D,Translator (LPTV),43.06,146.5,181.4,None specified,675,536.309441,BRIDGEPORT,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,24,CHCV-DT,Full-power,18.16,151.5,82.2,±1 kHz,690,530.309441,Crescent Valley,BC,0.305,reported_on_air_licensed
dtv_transmitter_census_v1,16,CHWW-DT,Full-power,39.22,148.9,79.1,±1 kHz,813,482.309441,Winlaw,BC,0.500,reported_on_air_licensed
dtv_transmitter_census_v1,14,CH2516-DT,Relay,53.72,156.4,327.5,±1 kHz,844,470.309441,Logan Lake,BC,0.260,reported_on_air_licensed
dtv_transmitter_census_v1,16,CH5530-DT,Relay,52.79,156.4,327.5,±1 kHz,813,482.309441,Logan Lake,BC,0.228,reported_on_air_licensed
dtv_transmitter_census_v1,18,CH2518-DT,Relay,53.72,156.4,327.5,±1 kHz,783,494.309441,Logan Lake,BC,0.260,reported_on_air_licensed
dtv_transmitter_census_v1,20,CH5531-DT,Relay,52.86,156.4,327.5,±1 kHz,752,506.309441,Logan Lake,BC,0.228,reported_on_air_licensed
dtv_transmitter_census_v1,24,CH5532-DT,Relay,52.76,156.4,327.5,±1 kHz,690,530.309441,Logan Lake,BC,0.228,reported_on_air_licensed
dtv_transmitter_census_v1,26,CH2519-DT,Relay,53.88,156.4,327.5,±1 kHz,660,542.309441,Logan Lake,BC,0.270,reported_on_air_licensed
dtv_transmitter_census_v1,28,CH5533-DT,Relay,53.72,156.4,327.5,±1 kHz,629,554.309441,Logan Lake,BC,0.260,reported_on_air_licensed
dtv_transmitter_census_v1,30,CH2520-DT,Relay,53.88,156.4,327.5,±1 kHz,598,566.309441,Logan Lake,BC,0.270,reported_on_air_licensed
dtv_transmitter_census_v1,32,CH5534-DT,Relay,52.10,156.4,327.5,±1 kHz,568,578.309441,Logan Lake,BC,0.227,reported_on_air_licensed
dtv_transmitter_census_v1,34,CH3083-DT,Relay,52.10,156.4,327.5,±1 kHz,537,590.309441,Logan Lake,BC,0.227,reported_on_air_licensed
dtv_transmitter_census_v1,22,CHKM-DT,Full-power,67.91,160.0,340.0,±1 kHz,721,518.309441,Kamloops,BC,30.000,reported_on_air_licensed
dtv_transmitter_census_v1,32,K32MC-D,Translator (LPTV),,167.4,190.1,None specified,568,578.309441,BAKER FLATS AREA,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,31,CHAN-1,Relay,47.53,176.8,261.8,±1 kHz,583,572.309441,Chilliwack,BC,0.428,reported_on_air_licensed
dtv_transmitter_census_v1,24,CHNU-DT,Full-power,,241.6,272.2,±1 kHz,690,530.309441,Fraser Valley,BC,35.000,reported_on_air_licensed
dtv_transmitter_census_v1,28,CFEG-TV,Full-power,,199.5,262.5,±1 kHz,629,554.309441,Abbotsford,BC,0.475,reported_on_air_licensed
