quarter,n_valid_frames,hi_rate,lo_rate
2018.75,161,0.4161,0.4472
2019.00,558,0.5376,0.3262
2019.25,901,0.3962,0.3785
2019.50,631,0.3930,0.4643
2019.75,2388,0.4276,0.4217
2020.00,1906,0.3961,0.3898
2020.25,509,0.4361,0.4008
2020.50,811,0.3859,0.4636
2020.75,331,0.4864,0.4079
2022.75,816,0.0074,0.0061
2023.00,461,0.0260,0.0065
2023.25,739,0.0027,0.0014
2023.50,823,0.0061,0.0024
2023.75,1221,0.0066,0.0098
2024.00,1167,0.0077,0.0086
2024.25,743,0.0148,0.0202
2024.50,1129,0.0018,0.0089
2024.75,1343,0.0037,0.0037
2025.00,1610,0.0025,0.0068
2025.25,2055,0.0112,0.0112
2025.50,1513,0.0073,0.0106
2025.75,3495,0.0083,0.0112
2026.00,3072,0.0033,0.0042
2026.25,3783,0.0373,0.0420
