unit,date,n_frames,mean_over_mu0,std_over_mu0
591,2019-04-06,24,0.99509,0.03616
592,2019-04-06,8,1.00756,0.04599
593,2019-04-06,5,0.99802,0.03673
594,2019-04-07,5,1.02742,0.02853
595,2019-04-07,5,1.01169,0.04170
596,2019-04-08,14,0.99028,0.02990
597,2019-04-08,5,0.98667,0.02971
598,2019-04-09,5,0.99854,0.04574
599,2019-04-10,5,1.00640,0.02256
600,2019-04-11,5,0.97789,0.02946
601,2019-04-11,14,0.98521,0.03999
602,2019-04-11,5,1.03133,0.02925
603,2019-04-12,5,0.99057,0.05864
604,2019-04-12,24,1.00868,0.03078
605,2019-04-12,5,0.99208,0.05349
606,2019-04-13,14,1.00279,0.03175
607,2019-04-14,5,0.99533,0.01044
608,2019-04-15,5,1.00181,0.00555
609,2019-04-17,14,1.00865,0.04434
610,2019-04-17,24,0.99710,0.04067
611,2019-04-17,5,0.98215,0.07477
612,2019-04-17,5,0.96975,0.03137
613,2019-04-18,5,0.99262,0.04128
614,2019-04-18,5,1.03293,0.04909
615,2019-04-19,5,0.97131,0.03645
616,2019-04-21,5,0.99519,0.02425
617,2019-04-23,5,0.99845,0.02926
618,2019-04-23,8,0.97250,0.04271
619,2019-04-23,14,0.99745,0.03479
620,2019-04-24,5,1.01181,0.02106
621,2019-04-25,5,0.99941,0.06735
622,2019-04-25,8,0.99926,0.02124
623,2019-04-25,5,0.96249,0.07629
624,2019-04-25,5,1.00200,0.03713
827,2019-10-23,9,1.04124,0.08435
828,2019-10-23,9,1.00501,0.02034
829,2019-10-23,6,1.02880,0.04040
830,2019-10-23,9,1.00120,0.06187
