atsc_channel,quarter,n_valid_frames,hi_rate_all,n_frb_frames,hi_rate_frb
14,2020.50,223,0.0000,106,0.0000
14,2025.25,1782,0.0174,897,0.0067
14,2025.50,1062,0.0094,497,0.0060
14,2025.75,2323,0.0194,636,0.0204
14,2026.00,2373,0.0029,827,0.0048
15,2020.50,223,0.0000,107,0.0000
15,2025.25,1776,0.0107,891,0.0079
15,2025.50,1440,0.0118,751,0.0053
15,2025.75,2970,0.0135,1031,0.0039
15,2026.00,1243,0.0016,345,0.0058
16,2020.50,223,0.0224,107,0.0374
16,2025.25,1621,0.0148,819,0.0134
16,2025.50,1443,0.0118,759,0.0053
16,2025.75,2973,0.0178,1042,0.0067
16,2026.00,1411,0.0050,372,0.0108
17,2020.50,225,0.0533,108,0.0278
17,2025.25,1770,0.3424,885,0.3435
17,2025.50,1431,0.3508,747,0.3574
17,2025.75,2972,0.3449,1033,0.3514
17,2026.00,1243,0.3194,345,0.3362
18,2020.50,241,0.0000,120,0.0000
18,2025.25,1769,0.0096,884,0.0068
18,2025.50,1415,0.0120,728,0.0041
18,2025.75,2971,0.0158,1032,0.0058
18,2026.00,1261,0.0032,345,0.0116
19,2025.25,1763,0.0142,880,0.0148
19,2025.50,1424,0.0112,735,0.0014
19,2025.75,2972,0.0138,1043,0.0105
19,2026.00,1578,0.0076,431,0.0162
20,2020.50,251,0.0000,126,0.0000
20,2025.25,1771,0.0169,886,0.0124
20,2025.50,1423,0.0084,734,0.0027
20,2025.75,2978,0.0131,1038,0.0067
20,2026.00,1252,0.0024,336,0.0089
21,2020.50,249,0.0000,126,0.0000
21,2025.25,1762,0.0159,880,0.0091
21,2025.50,1424,0.0126,735,0.0041
21,2025.75,2978,0.0161,1038,0.0039
21,2026.00,1251,0.0040,336,0.0119
22,2020.50,193,0.0000,89,0.0000
22,2025.25,1763,0.0108,886,0.0068
22,2025.50,1421,0.0099,739,0.0014
22,2025.75,2976,0.0124,1037,0.0039
22,2026.00,1310,0.0031,336,0.0089
23,2020.50,230,0.0000,122,0.0000
23,2025.25,1771,0.0141,886,0.0124
23,2025.50,1413,0.0120,731,0.0027
23,2025.75,2978,0.0151,1038,0.0173
23,2026.00,1279,0.0321,336,0.0446
25,2020.50,67,0.0000,24,
25,2025.25,1758,0.0159,880,0.0182
25,2025.50,1413,0.0156,728,0.0179
25,2025.75,2981,0.0158,1040,0.0058
25,2026.00,1520,0.0072,398,0.0075
26,2018.75,159,0.0503,92,0.0326
26,2019.00,228,0.0526,88,0.0341
26,2020.50,609,0.0739,290,0.0862
26,2020.75,331,0.0906,186,0.0806
26,2022.75,820,0.0402,407,0.0295
26,2023.00,424,0.0377,253,0.0395
26,2023.25,366,0.0055,229,0.0044
26,2025.25,1757,0.0102,877,0.0091
26,2025.50,961,0.0156,444,0.0045
26,2026.25,2234,0.0609,992,0.0040
27,2020.50,258,0.3798,130,0.3692
27,2025.25,1754,0.0131,875,0.0080
27,2025.50,1447,0.0076,758,0.0013
27,2025.75,3049,0.0066,1082,0.0037
27,2026.00,1299,0.0038,347,0.0144
28,2020.50,258,0.0000,131,0.0000
28,2025.25,1796,0.0106,886,0.0079
28,2025.50,1461,0.0103,770,0.0000
28,2025.75,3058,0.0160,1087,0.0166
28,2026.00,1321,0.0197,354,0.0085
29,2020.50,579,0.0017,260,0.0000
29,2020.75,613,0.0016,360,0.0000
29,2021.00,885,0.0000,475,0.0000
