# Worked-example fine spectra, coarse channel 506 (physical channel 36).
# T[f] for the two frames of the dissertation's pipeline chapter worked
# example: the exemplar masked frame (2025-07-31 15:52:22 UT) and the
# cohort's weakest valid frame (2025-05-16).
#
# Provenance: regenerated from first sources -- the two frames' fine
# spectra read directly from the per-pilot survey product (channel-36
# archive, complete-21 snapshot of 2026-08-18) by
# tools/make_dissertation_tables.py --worked-example, which names the
# frames by UTC day and F/mu0 ratio and verifies the exact values the
# text quotes (T[60..64] of the exemplar frame, the weakest frame's
# designated-window maximum) before emitting anything.
# plot_worked_example.py asserts every statistic the dissertation quotes,
# so a regeneration that disagrees will fail loudly.
#
# bin, T_exemplar, T_weakest
0,1.0135,0.5064
1,1.0180,0.7578
2,1.0133,0.8259
3,0.9992,0.8882
4,1.0312,1.5366
5,1.0232,3.1909
6,0.9925,1.0188
7,0.9650,0.6474
8,0.9489,1.8688
9,0.9288,1.5076
10,0.9567,1.0382
11,0.9908,0.4185
12,0.9987,0.6460
13,0.9549,0.6538
14,0.9593,0.9401
15,1.0235,1.2232
16,1.0391,0.9205
17,1.0395,0.4498
18,0.9899,0.6025
19,0.9966,1.7706
20,0.9673,0.8020
21,1.0231,0.7502
22,1.0544,0.9748
23,1.0296,0.6232
24,0.9992,0.6704
25,0.9754,1.0565
26,1.0060,1.2067
27,0.9828,0.7217
28,1.0134,2.1931
29,1.0851,2.8920
30,0.9851,0.8279
31,1.0295,0.6249
32,0.9994,0.6691
33,1.0386,1.1741
34,1.0103,2.0201
35,1.0200,2.1840
36,1.0413,0.8962
37,1.2407,0.5529
38,1.1040,1.0354
39,0.9945,1.1380
40,0.9933,1.0460
41,0.9296,1.1950
42,1.0130,0.7552
43,0.9770,0.6554
44,0.9843,1.3191
45,1.1820,1.2328
46,1.0486,1.1421
47,1.0007,0.9312
48,1.0475,0.3865
49,1.0271,0.7857
50,0.9811,0.7195
51,1.0565,0.5487
52,1.0231,0.5370
53,1.1831,0.5612
54,1.2317,0.6726
55,1.1412,0.4728
56,1.0343,0.5972
57,1.1398,1.1395
58,1.3142,0.7275
59,2.2792,0.7306
60,1.0655,0.7587
61,8.7297,1.3744
62,18.6151,2.5852
63,7.5983,0.9149
64,1.0826,0.4868
65,1.3684,0.7472
66,1.2858,0.8297
67,1.9310,0.5716
68,1.1902,0.5821
69,1.3871,0.8995
70,2.9868,0.7999
71,3.5920,0.9077
72,1.4298,1.3011
73,1.0866,0.9804
74,1.0055,0.7418
75,1.2084,0.6779
76,1.1547,0.4857
77,1.1077,0.5684
78,1.1727,0.8860
79,1.3535,0.9990
80,1.1334,1.0857
81,1.0622,1.5123
82,1.0875,1.4561
83,1.0599,0.5299
84,1.3376,1.1236
85,1.7989,1.6018
86,1.3420,0.9482
87,1.0671,0.5552
88,1.1442,0.6534
89,1.0791,0.5044
90,1.0947,1.0413
91,1.0718,1.2160
92,1.0475,0.7405
93,1.0156,0.6872
94,1.0253,0.7838
95,0.9918,1.0740
96,0.9797,0.8667
97,0.9584,0.7776
98,0.9958,0.7135
99,1.0691,0.7079
100,1.0066,0.7108
101,1.4430,0.6284
102,1.6774,0.6104
103,1.1856,0.4416
104,0.9647,0.8574
105,1.0300,1.0407
106,1.0304,0.9869
107,1.0233,0.5545
108,1.0686,0.4876
109,1.0239,0.8618
110,1.0523,0.7077
111,0.9887,0.7691
112,1.0056,0.7956
113,1.0115,0.5443
114,0.9763,0.9418
115,1.0286,0.8226
116,0.9685,1.0740
117,1.0270,0.6353
118,0.9811,0.7702
119,0.9515,1.7226
120,0.9962,1.1426
121,1.0126,0.7953
122,1.0066,1.4190
123,0.9945,1.2773
124,0.9702,0.7637
125,0.9431,1.0725
126,0.9998,0.7421
127,0.9933,0.5849
128,0.9859,0.4832
129,1.0057,0.5825
130,0.9732,0.3223
131,1.0015,0.4730
132,0.9733,1.0536
133,1.0018,0.9843
134,1.0066,1.2545
135,0.9956,0.6940
136,0.9616,0.5050
137,0.9615,1.8818
138,0.9872,2.6126
139,0.9784,2.5454
140,0.9731,1.2307
141,1.0172,0.6068
142,1.0476,0.7222
143,1.0946,0.8632
144,1.0182,1.0189
145,1.0343,0.4658
146,1.0116,0.3098
147,0.9830,0.5057
148,1.0036,0.8616
149,1.0047,0.9165
150,1.0316,0.6570
151,1.1341,1.2903
152,1.1389,1.5610
153,1.0405,0.7155
154,1.3255,0.4610
155,1.8268,0.6487
156,1.3767,0.5874
157,1.0197,0.5092
158,1.0448,0.5152
159,1.1276,0.5072
160,1.1004,1.3799
161,1.0282,1.2263
162,1.0439,1.0205
163,1.0450,0.7134
164,1.1361,0.9599
165,1.4968,0.3473
166,1.0097,0.4534
167,3.8748,0.8581
168,5.9736,1.0428
169,3.0133,0.6019
170,1.0312,0.7112
171,1.1505,0.6134
172,1.1344,0.6865
173,1.3009,0.6756
174,1.0165,0.6646
175,1.0884,1.3287
176,1.0052,2.0368
177,1.1595,2.2840
178,0.9982,1.5814
179,0.9892,0.6413
180,1.0276,0.8327
181,0.9830,1.6677
182,0.9612,1.3375
183,0.9952,1.2279
184,1.0027,0.8897
185,1.0543,0.6747
186,1.0255,1.2863
187,1.0228,1.1510
188,0.9577,1.1040
189,0.9260,1.2896
190,1.0035,0.9562
191,1.0317,0.6922
192,1.0155,1.2962
193,1.0228,0.9928
194,0.9948,0.8623
195,0.9460,1.4009
196,1.0090,1.4321
197,1.0019,0.8777
198,1.0367,0.8202
199,1.0098,0.9466
200,0.9424,0.5811
201,0.9855,0.8258
202,0.9513,0.7979
203,0.9967,0.9405
204,0.9903,1.6443
205,0.9938,0.7605
206,1.0183,0.3785
207,1.0278,0.5473
208,1.0309,0.6384
209,0.9618,0.6285
210,0.9445,0.5654
211,0.9953,2.3435
212,1.0468,2.6686
213,1.0205,0.9378
214,0.9727,1.0994
215,1.0106,1.3775
216,0.9985,1.4215
217,1.0042,1.0845
218,0.9805,0.8520
219,0.9597,0.6448
220,0.9572,0.6627
221,1.0543,0.9539
222,1.0375,0.6520
223,0.9733,0.8446
224,1.0287,0.7796
225,0.9818,0.5613
226,0.9407,0.5316
227,0.9778,0.6586
228,0.9370,0.9714
229,0.9250,0.6910
230,0.9553,0.4424
231,1.0010,0.6761
232,1.0046,1.4861
233,0.9547,1.2986
234,0.9982,1.0787
235,0.9953,0.6954
236,0.9723,0.7032
237,0.9869,0.7885
238,0.9712,0.7705
239,1.0598,1.0898
240,1.0412,1.6520
241,1.0067,3.4826
242,1.0320,1.1587
243,1.0118,0.5785
244,0.9891,0.4948
245,0.9920,1.1004
246,1.0288,0.5744
247,1.0406,0.5223
248,0.9956,0.7045
249,0.9499,0.6126
250,0.9580,1.4776
251,1.0255,1.2446
252,0.9756,0.9366
253,0.9539,0.6764
254,0.9882,0.3614
255,1.0267,0.5412
