requested_data_shelf_snr_db,ideal_local_reference_db,waveform_conditioned_expected_db,gpu_fixed_db,gpu_ci95_low_db,gpu_ci95_high_db,cpu_float_db,cpu_float_ci95_low_db,cpu_float_ci95_high_db,cpu_packed_db,trials,positive_excess_trials,positive_excess_fraction
-60,-60.000004342942646,-47.016448633214168,,,-43.023021387927599,,,-43.024136371795223,,240,117,0.48749999999999999
-57,-57.000008665305486,-46.788592207638942,,,-42.717466176072932,-58.990392628238709,,-42.529428643328401,,240,119,0.49583333333333335
-54,-54.000017289540324,-46.366838870572792,-47.39216615717659,,-41.385911425996156,-45.542505917221533,,-40.891421757695191,-47.39216615717659,240,120,0.5
-51,-51.000034497099904,-45.630930453990061,-45.706823340880035,,-40.726785319773981,-45.436386461410109,,-40.656035967540916,-45.706823340880035,240,119,0.49583333333333335
-48,-48.000068830491344,-44.454909697609651,-43.536324504442902,,-39.926841211980161,-44.132261004910617,,-40.119747339698392,-43.536324504442902,240,129,0.53749999999999998
-45,-45.000137333802378,-42.771972631837883,-45.514084209223427,-55.770123253202669,-42.713035144038372,-45.295362986341146,-54.674348373755407,-42.593165645321449,-45.514084209223427,1000,528,0.52800000000000002
-42,-42.000274012648603,-40.621004353634248,-39.915269172879732,-41.276521809905404,-38.848034259187187,-39.854202189398563,-41.195494901530317,-38.831710092517739,-39.915269172879732,1000,597,0.59699999999999998
-39,-39.000546709946839,-38.118595103147733,-38.614345459561299,-39.566981315134669,-37.834593761766833,-38.519699321615896,-39.433853464956059,-37.773554711550631,-38.614345459561299,1000,631,0.63100000000000001
-36,-36.001090761428664,-35.391630762253499,-35.89698370419049,-36.394611725954647,-35.465832942103319,-35.758671925188452,-36.240269820873017,-35.329782440330327,-35.89698370419049,1000,732,0.73199999999999998
-33,-33.002176083232619,-32.536081938242532,-32.597715668869277,-32.814600191042068,-32.387350858441131,-32.564315430659178,-32.779799118895461,-32.362585936234481,-32.597715668869277,1000,903,0.90300000000000002
-30,-30.004340774793185,-29.612089131751048,-29.567782614475476,-29.6847058480251,-29.452691087034463,-29.500112916432435,-29.613601059610048,-29.389888654059785,-29.567782614475476,1000,991,0.99099999999999999
-27,-27.008656680827933,-26.65423087848616,-26.648311527592934,-26.904587374513838,-26.407545909485748,-26.587443056536529,-26.839062584541363,-26.352728123404017,-26.648311527592934,60,60,1
-24,-24.017255250287928,-23.68258914674195,-23.716834411058738,-23.887262975624179,-23.544331782392959,-23.668676974027008,-23.84001544910112,-23.497164737031923,-23.716834411058738,60,60,1
-21,-21.034360947517285,-20.710976384455687,-20.790568918392651,-20.897087726789927,-20.687252112613809,-20.727838067728385,-20.830134545448487,-20.62448405659822,-20.790568918392651,60,60,1
-18,-18.06829128312453,-17.753218445511891,-17.79410304007645,-17.866834186979453,-17.72313813583753,-17.727360743403722,-17.79637883054405,-17.658515247135774,-17.79410304007645,60,60,1
-15,-15.135209221080382,-14.829442131677759,-14.836169277280508,-14.887821463956989,-14.783708473736411,-14.771882581798476,-14.821644284797241,-14.721760111145016,-14.836169277280508,60,60,1
-12,-12.265723755961025,-11.974314591881999,-12.011041316932729,-12.053894537029635,-11.967878551150733,-11.944846767665929,-11.987350895545518,-11.902348790315983,-12.011041316932729,60,60,1
-9,-9.5149694202523012,-9.2481188909971923,-9.2292110582710762,-9.2654084828329886,-9.1931364745086697,-9.172095286435372,-9.2083805182787586,-9.1359657397170899,-9.2292110582710762,60,60,1
-6,-6.9732279370869543,-6.7469960749811246,-6.7695972882323048,-6.8112524291144254,-6.7276556523587487,-6.7154468786909547,-6.7567010389364626,-6.6744055783956711,-6.7695972882323048,60,60,1
-3,-4.7643486243648532,-4.5979106671204306,-4.6147904034581728,-4.6458969592112709,-4.5837341327012062,-4.5795937734552474,-4.6112709572966359,-4.548142543216354,-4.6147904034581728,60,60,1
0,-3.0102999566398121,-2.9172544109241159,-2.9527637578380563,-2.9776261075189829,-2.927584205900061,-2.9432154859292972,-2.9681419169989205,-2.9191059275359379,-2.9527637578380563,60,60,1
3,-1.7643486243648532,-1.7434406092501398,-1.7644581993719335,-1.7903537321228491,-1.7377836871429615,-1.7950763772245217,-1.8209050850934041,-1.768999762842757,-1.7644581993719335,60,60,1
6,-0.97322793708695432,-1.0092493263304334,-1.0475978902225656,-1.0666634082036133,-1.0288587560128519,-1.0905864585366807,-1.1084732248104245,-1.0716097722618194,-1.0475978902225656,60,60,1
9,-0.51496942025230119,-0.58861913114009923,-0.60844959790898656,-0.62415554920541183,-0.59295220342322352,-0.66475029346096193,-0.68107345520618878,-0.64804810804766078,-0.60844959790898656,60,60,1
12,-0.26572375596102482,-0.36141630216247478,-0.38379848891078439,-0.39656527246602025,-0.37130183026434338,-0.4553767523025698,-0.465400878265811,-0.44451653131680757,-0.38379848891078439,60,60,1
15,-0.13520922108038036,-0.24291151839707226,-0.26772480416961741,-0.27773228524269911,-0.25751206291892004,-0.35504203998441142,-0.3632554322992263,-0.34706556760328056,-0.26772480416961741,60,60,1
18,-0.068291283124530366,-0.18227935922727667,-0.19883969848589089,-0.20793954331426079,-0.18994846825562206,-0.28762183638615113,-0.29311126257626086,-0.28229929971587353,-0.19883969848589089,60,60,1
21,-0.034360947517285467,-0.15156984690909425,-0.16854074839076816,-0.17692496601050323,-0.16010050612559468,-0.26131197056209032,-0.26570983423038541,-0.25693842826774471,-0.16854074839076816,60,60,1
24,-0.017255250287927737,-0.13609655120465547,-0.14904513048083601,-0.15640206749536389,-0.1417552483466693,-0.24591553737559479,-0.24884091751630422,-0.24309199378487278,-0.14904513048083601,60,60,1
27,-0.008656680827940022,-0.1283207437634637,-0.13443856704553525,-0.14019742494301113,-0.12877368353920815,-0.23894795359892385,-0.24086516282534376,-0.23709497056162832,-0.13443856704553525,60,60,1
30,-0.0043407747931887286,-0.1244183645233683,-0.11955773975610384,-0.12338635162200262,-0.11567355650313971,-0.23359184237956043,-0.23501353170877337,-0.23215928117221551,-0.11955773975610384,60,60,1
33,-0.0021760832326123136,-0.12246122191931264,-0.11805491650257238,-0.12157596005323512,-0.11440059753459764,-0.23237813795414297,-0.23335932155253403,-0.2313716609822194,-0.11805491650257238,60,60,1
36,-0.0010907614286637113,-0.12147999512741947,-0.11641599693388116,-0.11900307374665431,-0.11374936113320189,-0.23142081023087258,-0.23221040171547003,-0.23062034539444909,-0.11641599693388116,60,60,1
39,-0.00054670994683903018,-0.12098813337150816,-0.11662161425082473,-0.11917109873290599,-0.11408858977756609,-0.23078671935834905,-0.23125531448621928,-0.23031866739495399,-0.11662161425082473,60,60,1
