population,streams,null_trials,statistic,null_median,null_mean,width_raw_sd,width_robust_core,width_left_scale,width_pred_1_over_sqrt_beta_M,beta_implied_core,probe_snr_db,h1_trials,excess_per_snr,deflection_per_snr_core
independent,1,4000,coarse,0.9976291,1.0037558,0.10998783,0.10767463,0.10314956,0.10825318,86.252809,-10,500,0.90861698,8.4385431
independent,1,4000,coarse,0.9976291,1.0037558,0.10998783,0.10767463,0.10314956,0.10825318,86.252809,0,500,0.98963604,9.1909865
independent,1,4000,fine,3.1302873,5.7206375,10.539698,3.3193352,1.8498333,1.2247449,0.090760689,-10,500,255.20494,76.884353
independent,1,4000,fine,3.1302873,5.7206375,10.539698,3.3193352,1.8498333,1.2247449,0.090760689,0,500,271.38908,81.76007
independent,2,4000,coarse,0.99980341,1.0011073,0.078007461,0.078597857,0.077252702,0.076546554,80.937278,-10,500,1.0173529,12.943774
independent,2,4000,coarse,0.99980341,1.0011073,0.078007461,0.078597857,0.077252702,0.076546554,80.937278,0,500,1.0005952,12.730566
independent,2,4000,fine,2.253995,2.8131838,2.1177821,1.4888216,1.0426203,0.8660254,0.22557175,-10,500,162.9167,109.42661
independent,2,4000,fine,2.253995,2.8131838,2.1177821,1.4888216,1.0426203,0.8660254,0.22557175,0,500,170.3188,114.39839
independent,4,4000,coarse,1.0006995,1.001334,0.0539978,0.053158108,0.053051229,0.054126588,88.471009,-10,500,0.98543891,18.537885
independent,4,4000,coarse,1.0006995,1.001334,0.0539978,0.053158108,0.053051229,0.054126588,88.471009,0,500,0.99603016,18.737126
independent,4,4000,fine,1.7597591,1.9756403,0.95896702,0.79234302,0.59179018,0.61237244,0.39821126,-10,500,140.34467,177.12615
independent,4,4000,fine,1.7597591,1.9756403,0.95896702,0.79234302,0.59179018,0.61237244,0.39821126,0,500,147.18067,185.75373
independent,8,4000,coarse,0.99930019,1.0001787,0.038435751,0.038540808,0.037671118,0.038273277,84.152765,-10,500,0.97641449,25.334562
independent,8,4000,coarse,0.99930019,1.0001787,0.038435751,0.038540808,0.037671118,0.038273277,84.152765,0,500,0.9984956,25.90749
independent,8,4000,fine,1.5077762,1.5906084,0.52299235,0.46823785,0.40606027,0.4330127,0.57013405,-10,500,133.6815,285.49913
independent,8,4000,fine,1.5077762,1.5906084,0.52299235,0.46823785,0.40606027,0.4330127,0.57013405,0,500,137.69291,294.06616
independent,16,4000,coarse,1.0000374,1.0003595,0.026703248,0.026348861,0.02650025,0.027063294,90.023592,-10,500,1.001702,38.0169
independent,16,4000,coarse,1.0000374,1.0003595,0.026703248,0.026348861,0.02650025,0.027063294,90.023592,0,500,1.0008126,37.983146
independent,16,4000,fine,1.3424562,1.3794089,0.31544458,0.28805011,0.25964685,0.30618622,0.75325832,-10,500,128.00402,444.3811
independent,16,4000,fine,1.3424562,1.3794089,0.31544458,0.28805011,0.25964685,0.30618622,0.75325832,0,500,131.16842,455.36667
independent,32,4000,coarse,0.99950349,0.99983715,0.019275084,0.019133691,0.01832454,0.019136639,85.359625,-10,500,0.99934735,52.229721
independent,32,4000,coarse,0.99950349,0.99983715,0.019275084,0.019133691,0.01832454,0.019136639,85.359625,0,500,0.99965464,52.245781
independent,32,4000,fine,1.2307936,1.2511803,0.20575265,0.19185759,0.17704586,0.21650635,0.84896941,-10,500,127.33235,663.68159
independent,32,4000,fine,1.2307936,1.2511803,0.20575265,0.19185759,0.17704586,0.21650635,0.84896941,0,500,129.76034,676.33674
independent,64,4000,coarse,0.999806,0.9998479,0.013524646,0.013405047,0.013643517,0.013531647,86.952757,-10,500,0.99230816,74.024968
independent,64,4000,coarse,0.999806,0.9998479,0.013524646,0.013405047,0.013643517,0.013531647,86.952757,0,500,0.99864737,74.497866
independent,64,4000,fine,1.1660724,1.1770002,0.132879,0.12928933,0.11933037,0.15309311,0.93474824,-10,500,127.73604,987.98594
independent,64,4000,fine,1.1660724,1.1770002,0.132879,0.12928933,0.11933037,0.15309311,0.93474824,0,500,129.35623,1000.5175
independent,128,4000,coarse,0.99993905,0.99997948,0.0095777529,0.0096265208,0.0095015394,0.0095683193,84.304611,-10,500,1.0077503,104.68479
independent,128,4000,coarse,0.99993905,0.99997948,0.0095777529,0.0096265208,0.0095015394,0.0095683193,84.304611,0,500,1.0014285,104.02809
