commanded_data_shelf_snr_db,received_input_data_shelf_snr_db,ideal_local_reference_db,control_conditioned_expected_db,gpu_fixed_db,gpu_ci95_low_db,gpu_ci95_high_db,output_minus_received_db,output_minus_control_expected_db,trials,positive_excess_trials,positive_excess_fraction
-42,-43.271968495899749,-43.27217294125078,-35.806169590985718,-38.231020336068909,-44.708527806550151,-35.795012582276954,5.0409481598308403,-2.4248507450831909,240,138,0.57499999999999996
-39,-40.272006939085344,-40.272414848023544,-35.031695227362057,-37.596580305120149,-40.283701564531285,-35.909431603082382,2.6754266339651949,-2.5648850777580918,240,143,0.59583333333333333
-36,-37.27208364230799,-37.272897475230721,-33.806729089126698,-37.471634088854813,-42.032528841131395,-35.185818449989455,-0.19955044654682297,-3.6649049997281153,240,134,0.55833333333333335
-33,-34.272236681309622,-34.273860282871993,-32.074079736443885,-33.469908339173791,-34.743948593881782,-32.437443101032706,0.80232834213583004,-1.3958286027299067,240,168,0.69999999999999996
-30,-31.272542018148432,-31.275780699088127,-29.883170755896487,-30.940098037920137,-31.649377034243937,-30.297149690691953,0.33244398022829458,-1.0569272820236506,240,196,0.81666666666666665
-27,-28.273151181096402,-28.27960989752772,-27.355146164823381,-27.348997041824273,-28.036939454259212,-26.753781963743997,0.92415413927212953,0.006149122999108414,60,58,0.96666666666666667
-24,-25.274366365708147,-25.287240078918693,-24.61602668530869,-24.680671411872389,-24.984324694699009,-24.379871298116591,0.5936949538357581,-0.064644726563699351,60,60,1
-21,-22.276789962215755,-22.302424350907504,-21.760153560451776,-21.96848191854022,-22.216239760832714,-21.723941928026409,0.30830804367553455,-0.20832835808844408,60,60,1
-18,-19.281621635254997,-19.332563234867443,-18.848831618168639,-18.98965840621365,-19.166088440814129,-18.816155146226905,0.29196322904134675,-0.14082678804501114,60,60,1
-15,-16.29124605746259,-16.392080345529564,-15.923089330900403,-15.921871587114445,-16.068654217915896,-15.779975952642715,0.36937447034814497,0.0012177437859577367,60,60,1
-12,-13.310385804583756,-13.508449514292799,-13.018155988284132,-13.014893456853386,-13.079146490924316,-12.949200670396376,0.29549234773037014,0.0032625314307459519,60,60,1
-9,-10.348324400064277,-10.731714888262966,-10.177558308181379,-10.180744104810007,-10.247608336609787,-10.112166956599346,0.16758029525426998,-0.003185796628628168,60,60,1
-6,-7.4230456760570007,-8.1455704884511526,-7.4676442865004482,-7.4959907561852859,-7.5710076553748706,-7.4175181607135166,-0.072945080128285156,-0.028346469684837672,60,60,1
-3,-4.5683992201097254,-5.8693847403297585,-4.9891494001609651,-5.0019007912427114,-5.0848546867835864,-4.9259030598035345,-0.43350157113298593,-0.012751391081746277,60,60,1
0,-1.8446431912800276,-4.0298319114731882,-2.8711266544868366,-2.8226453178218023,-2.8826731569147874,-2.7667368441903371,-0.97800212654177465,0.048481336665034291,60,60,1
