channel,pilot_A_long,inband_A_long,correction_db,usable,strong
14,1.770431e-04,1.835050e-04,0.156,True,False
15,2.686916e-04,2.044163e-04,-1.187,True,False
16,1.769416e-04,1.868917e-04,0.238,True,False
17,2.421967e-02,9.650817e-03,-3.996,True,True
18,1.685727e-04,1.331897e-04,-1.023,True,False
21,2.160455e-04,1.928334e-04,-0.494,True,False
22,1.240105e-03,3.833420e-04,-5.099,True,True
23,1.825743e-04,1.138924e-04,-2.049,True,False
25,1.290471e-04,1.977706e-04,1.854,True,False
26,1.783583e-04,1.533544e-04,-0.656,True,False
27,1.559143e-04,1.689620e-04,0.349,True,False
28,2.222755e-04,1.156288e-04,-2.838,True,False
29,2.921709e-04,1.211427e-04,-3.823,True,False
32,2.453987e-04,1.782510e-04,-1.388,True,False
33,9.593043e-03,2.608113e-03,-5.656,True,True
35,5.381358e-03,2.462470e-03,-3.395,True,True
36,3.558692e-04,9.582770e-05,-5.698,True,False
37,1.281212e-04,8.204926e-05,-1.935,True,False
