rung,slot,utc,kind,helper_mode,tone_component,pad_db,parts,success,rx_qualified,rx_error,rx_max_chunk_rms,rx_peak_component,accepted_samples,qualified_dropped,qualified_overrun,qualified_underrun,tx_underrun,notes
a0,0,2026-09-18T21:42:42.663377+00:00,tx_zero,txzero,0.005,term,T1+T2,True,True,,0.010580586943047749,0.01123595517128706,4000000,0,0,0,3,"terminated TX-zero, session start"
a0,1,2026-09-18T22:59:12.694793+00:00,signal_only,tone,0.005,0,C1 + 0 x 30 dB pad,True,True,,0.2788818873952746,0.284807026386261,4000000,0,0,0,3,cabling check at 0 dB; loudest slot of the session
a0,2,2026-09-18T23:03:34.910776+00:00,noise_only,noise,0.005,term,T1+T2,True,True,,0.010646671371650356,0.011724474839866161,4000000,0,0,0,0,"terminated null, TX disabled"
a0,3,2026-09-19T02:00:11.435843+00:00,mixture,tone,0.005,0,C1 + 0 x 30 dB pad,True,True,,0.2740506893343728,0.7254518866539001,4000000,0,0,0,3,ladder rung a0 at pad 0
a0,4,2026-09-19T02:14:40.382703+00:00,mixture,tone,0.005,30,C1 + 1 x 30 dB pad,True,True,,0.1008943394633542,0.17147044837474823,4000000,0,0,0,3,ladder rung a0 at pad 30
a0,5,2026-09-19T02:16:36.979582+00:00,mixture,tone,0.005,60,C1 + 2 x 30 dB pad,True,True,,0.01107173259474151,0.011724474839866161,4000000,0,0,0,3,ladder rung a0 at pad 60
a1,0,2026-09-19T02:20:03.774832+00:00,tx_zero,txzero,0.0025,term,T1+T2,True,True,,0.010645060956181994,0.01123595517128706,4000000,0,0,0,3,rung a1 terminated TX-zero
a1,1,2026-09-19T02:28:27.210380+00:00,signal_only,tone,0.0025,60,C1 + 2 x 30 dB pad,True,True,,0.011002724044745513,0.011724474839866161,4000000,0,0,0,3,rung a1 cabling check at pad 60
a1,2,2026-09-19T02:29:37.219873+00:00,noise_only,noise,0.0025,term,T1+T2,True,True,,0.0104360269927121,0.01123595517128706,4000000,0,0,0,0,rung a1 terminated null
a1,3,2026-09-19T02:30:28.161525+00:00,mixture,tone,0.0025,60,C1 + 2 x 30 dB pad,False,True,Qualified RX stream underrun/overrun/drop,0.010096043879914482,0.010747435502707958,217504,3,0,0,3,rung a1 ladder at pad 60
a1,3,2026-09-19T02:30:28.161525+00:00,mixture,tone,0.0025,60,C1 + 2 x 30 dB pad,False,True,Qualified RX stream underrun/overrun/drop,0.010096043879914482,0.010747435502707958,217504,3,0,0,3,"TRANSPORT FAULT: 3 qualified-RX drops, amendment 1, kept and re-recorded"
a1,3,2026-09-19T02:32:22.977768+00:00,mixture,tone,0.0025,60,C1 + 2 x 30 dB pad,True,True,,0.010875529173378282,0.011724474839866161,4000000,0,0,0,3,"rung a1 ladder at pad 60, repeat after transport fault"
a1,4,2026-09-19T02:33:35.993115+00:00,mixture,tone,0.0025,30,C1 + 1 x 30 dB pad,True,True,,0.027571058982132808,0.11529067158699036,4000000,0,0,0,3,rung a1 ladder at pad 30
